Title,Year,Ratings,Director,Cast,Genre
Alien,1979,93,Ridley Scott,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Let the Right One In,2008,98,Tomas Alfredson,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Aliens,1986,98,James Cameron,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Jaws,1975,97,Steven Spielberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Silence of the Lambs,1991,95,Jonathan Demme,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Get Out,2017,98,Jordan Peele,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Psycho,1960,97,Alfred Hitchcock,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
One Cut of the Dead,2017,100,Shinichiro Ueda,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
King Kong,1933,97,Merian C. Cooper,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
A Quiet Place,2018,96,John Krasinski,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Halloween,1978,96,John Carpenter,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Shaun of the Dead,2004,92,Edgar Wright,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
What We Do in the Shadows,2014,96,Jemaine Clement,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Diabolique,1955,95,Henri-Georges Clouzot,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Invisible Man,2020,92,Leigh Whannell,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Nosferatu,1922,97,F.W. Murnau,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
